PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40079210,iBCS: 4. Application of the Inhalation Biopharmaceutics Classification System to the Development of Orally Inhaled Drug Products.,2025,Jennifer Wylie,"Merck & Co., Inc., Rahway, New Jersey 07065, United States.",N/A
40078334,Human oocyte capacitation culture: Essential step toward hormone-free assisted reproductive technology.,2025,N/A,N/A,N/A
40078077,Number needed to treat (NNT) with pembrolizumab as an adjuvant therapy in resected patients with high-risk stage II (IIB and IIC) melanoma and its application to cost of preventing an event (COPE) in Mexico.,2025,Mizuho Fukunaga-Kalabis; Shan Jiang; Clemens Krepler; Roberto Acevedo; Ruixuan Jiang; Shujing Zhang,"Merck & Co., Inc, Rahway, New Jersey, USA.",N/A
40075459,Comprehensive cross-sectional and longitudinal comparisons of plasma glial fibrillary acidic protein and neurofilament light across FTD spectrum disorders.,2025,N/A,N/A,Gendron.Tania@mayo.edu.
40075330,Stigmatizing attitudes toward people with migraine by people without active migraine: results of the OVERCOME (US) study.,2025,Lars Viktrup; Robert A Nicholson; Anthony J Zagar; Eva Jolanda Muenzel,"Eli Lilly & Company, Indianapolis, US.",Robert.Shapiro@uvmhealth.org.
40075036,"Industry Perspectives on Implementation of Model Master File (MMF) Framework for Generics and Innovator Drugs: Opportunities, Challenges and Future Outlook.",2025,Tycho Heimbach; Tausif Ahmed; Jan De Backer; Sivacharan Kollipara,"Biopharmaceutics Group, Global Clinical Management, Integrated Product Development Organization (IPDO), Dr. Reddy's Laboratories Ltd, Medchal Malkajgiri District, Bachupally, 500 090, Telangana, India.; Pharmaceutical Sciences and Clinical Supply, Merck & Co., Inc, Rahway, NJ, 07065, USA.; Biopharmaceutics Group, Global Clinical Management, Integrated Product Development Organization (IPDO), Dr. Reddy's Laboratories Ltd, Medchal Malkajgiri District, Bachupally, 500 090, Telangana, India. sivacharankollipara@drreddys.com.; FLUIDDA Inc, New York, NY, USA.",sivacharankollipara@drreddys.com.
40075025,First-Line Tislelizumab Plus Chemotherapy for Advanced Gastric Cancer with Programmed Death-Ligand 1 Expression ≥ 1%: A Retrospective Analysis of RATIONALE-305.,2025,Silu Yang; Tao Sheng; Alysha Kadva; Yaling Xu,"Clinical Development, BeiGene (Shanghai) Co., Ltd, Shanghai, China.; Biostatistics, BeiGene USA, Inc., Emeryville, CA, USA.; Clinical Biomarkers, BeiGene (Beijing) Co., Ltd., Beijing, China.; Clinical Development, BeiGene USA, Inc., San Mateo, CA, USA.",xurh@sysucc.org.cn.
40075024,First-Line Tislelizumab Plus Chemotherapy for Esophageal Squamous Cell Carcinoma with Programmed Death-Ligand 1 Expression ≥ 1%: A Retrospective Analysis of RATIONALE-306.,2025,Hongqian Wu; Alysha Kadva; Sebastian Yan; Lei Wang; Jingwen Shi,"Clinical Development, BeiGene (Beijing) Co., Ltd., Beijing, China.; Biostatistics, BeiGene USA, Inc., Ridgefield Park, NJ, USA.; Clinical Biomarker, BeiGene (Beijing) Co., Ltd., Beijing, China.; Clinical Development, BeiGene USA, Inc., San Mateo, CA, USA.",yoon.harry@mayo.edu.
40074941,Identification of early genes in the pathophysiology of fibrotic interstitial lung disease in a new model of pulmonary fibrosis.,2025,N/A,N/A,jean-luc.desseyn@inserm.fr.
40074938,Prevalence of Comorbid Hyperparathyroidism and Its Association with Renal Dysfunction in Asian Patients with X-Linked Hypophosphatemic Rickets/Osteomalacia.,2025,Yayoi Nishida; Haruka Ishii,"Medical Affairs Department, Kyowa Kirin Co., Ltd, Tokyo, Japan.",nobitotky@gmail.com.
40074470,Best Practices for Imaging of Transcatheter Valve Failure: An Update From the Heart Valve Collaboratory.,2025,N/A,N/A,omark31@gmail.com.; hasanian.al@cshs.org.
40073206,"Atrial fibrillation burden in clinical practice, research, and technology development: a clinical consensus statement of the European Society of Cardiology Council on Stroke and the European Heart Rhythm Association.",2025,N/A,N/A,N/A
40072824,Vedolizumab for prevention of lower-GI acute GVHD in the Japanese subgroup analysis of the phase 3 GRAPHITE study.,2025,Guillermo Rossiter; Ryou Nakaya; Johan Jansson,"Takeda Pharmaceutical Company Limited, Tokyo, Japan.; Takeda Development Center Americas, Inc. (at the time of the study), Cambridge, MA, USA.",teshima@med.hokudai.ac.jp.
40072659,Pharmacological inhibition of the Janus Kinases enhances ASCL1 protein stability and transcriptional activity.,2025,Martina Koeva Veiga,"Merck & Co., Inc., 320 Bent St., Cambridge, MA, 02141, USA.",sebastien.gillotin@msd.com.
40072549,IMproving Preclinical Assessment of Cardioprotective Therapies (IMPACT): a small animal acute myocardial infarction randomized-controlled multicenter study on the effect of ischemic preconditioning.,2025,N/A,N/A,peter.ferdinandy@pharmahungary.com.; derek.hausenloy@duke-nus.edu.sg.
40070307,Quality of life in heart failure. The heart of the matter. A scientific statement of the Heart Failure Association and the European Association of Preventive Cardiology of the European Society of Cardiology.,2025,N/A,N/A,N/A
40070025,Establishing a Common Lexicon for Circulating Tumor DNA Analysis and Molecular Residual Disease: Insights From the BLOODPAC Consortium.,2025,Christina Bormann Chung; Carol Pena,"Merck & co., Inc., Rahway, New Jersey, USA.; GRAIL, Inc., Menlo Park, California, USA.",N/A
40069763,"Molecular determinants of response to neoadjuvant pembrolizumab plus chemotherapy in patients with high-risk, early-stage, triple-negative breast cancer: exploratory analysis of the open-label, multicohort phase 1b KEYNOTE-173 study.",2025,Razvan Cristescu; Michael Nebozhyn; Anran Wang; Lingkang Huang; Vassiliki Karantza; Jennifer Yearley; Petar Jelinic,"Merck & Co., Inc., Rahway, NJ, USA.",Rebecca.dent@duke-nus.edu.sg.
40069616,"Protocol of the IMPACT study: randomized, multicenter, phase 3 study evaluating the efficacy of immunotherapy (Atezolizumab) plus anti-VEGF therapy (Bevacizumab) in combination with transcatheter arterial chemoembolization for unresectable hepatocellular carcinoma.",2025,Tetsutaro Hamano,"Head office, P4 Statistics Co. Ltd., 5-11-14, Todoroki, Setagaya-Ku, Tokyo, 158-0082, Japan.",m-kudo@med.kindai.ac.jp.
40069510,Tolerability and Effectiveness of Glucagon-Like Peptide-1 Receptor Agonists in Patients with Inflammatory Bowel Disease.,2025,N/A,N/A,ckelly42@bwh.harvard.edu.
