PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40075895,The Value of Clinical Decision Support in Healthcare: A Focus on Screening and Early Detection.,2025,Michaela Schenk; Alessandro Pedrioli; Deniz Gmuer; Daniel Cigoianu; Hendrik Schäfer; Paolo Valente; Chaohui Guo; Ruby Singhrao; Bernhard Hoehne,"Quality & Regulatory Roche Information Solutions, Roche Diagnostics International Ltd., Forrenstrasse 2, 6343 Rotkreuz, Switzerland.; Healthcare Insights, Roche Information Solutions, Roche Diagnostics International Ltd., Forrenstrasse 2, 6343 Rotkreuz, Switzerland.; Clinical Value & Validation, Roche Information Solutions, F. Hoffmann-La Roche Ltd., Grenzacherstrasse 124, 4070 Basel, Switzerland.; Clinical Development & Medical Affairs, Roche Diagnostics International Ltd., Forrenstrasse 2, 6343 Rotkreuz, Switzerland.",N/A
40075283,Retinal sensitivity above macular neovascularization under anti-VEGF therapy in exudative neovascular age-related macular degeneration.,2025,Beatriz Garcia Armendariz; Siqing Yu; Isabel Bachmeier,"F. Hoffmann-La Roche Ltd, Pharma Research and Early Development, Basel, Switzerland.",dapauleikhoff@muenster.de.
40075025,First-Line Tislelizumab Plus Chemotherapy for Advanced Gastric Cancer with Programmed Death-Ligand 1 Expression ≥ 1%: A Retrospective Analysis of RATIONALE-305.,2025,Silu Yang; Tao Sheng; Yaling Xu; Alysha Kadva,"Clinical Biomarkers, BeiGene (Beijing) Co., Ltd., Beijing, China.; Clinical Development, BeiGene USA, Inc., San Mateo, CA, USA.; Clinical Development, BeiGene (Shanghai) Co., Ltd, Shanghai, China.; Biostatistics, BeiGene USA, Inc., Emeryville, CA, USA.",xurh@sysucc.org.cn.
40075024,First-Line Tislelizumab Plus Chemotherapy for Esophageal Squamous Cell Carcinoma with Programmed Death-Ligand 1 Expression ≥ 1%: A Retrospective Analysis of RATIONALE-306.,2025,Sebastian Yan; Alysha Kadva; Lei Wang; Jingwen Shi; Hongqian Wu,"Biostatistics, BeiGene USA, Inc., Ridgefield Park, NJ, USA.; Clinical Development, BeiGene USA, Inc., San Mateo, CA, USA.; Clinical Biomarker, BeiGene (Beijing) Co., Ltd., Beijing, China.; Clinical Development, BeiGene (Beijing) Co., Ltd., Beijing, China.",yoon.harry@mayo.edu.
40074767,Retrospective audit reviewing accuracy of clinical diagnosis of geographic atrophy in a single centre private tertiary retinal practice in Australia.,2025,N/A,N/A,hmack@eyesurgery.com.au.
40072824,Vedolizumab for prevention of lower-GI acute GVHD in the Japanese subgroup analysis of the phase 3 GRAPHITE study.,2025,Ryou Nakaya; Guillermo Rossiter; Johan Jansson,"Takeda Pharmaceutical Company Limited, Tokyo, Japan.; Takeda Development Center Americas, Inc. (at the time of the study), Cambridge, MA, USA.",teshima@med.hokudai.ac.jp.
40071061,Opportunities to encourage adoption of a biomarker-enabled care pathway for Alzheimer's in primary care.,2025,Diana R Kerwin,Kerwin Medical Center LLC Dallas Texas USA.,N/A
40070307,Quality of life in heart failure. The heart of the matter. A scientific statement of the Heart Failure Association and the European Association of Preventive Cardiology of the European Society of Cardiology.,2025,N/A,N/A,N/A
40070112,Forestwalk: A Machine Learning Workflow Brings New Insights Into Posture and Balance in Rodent Beam Walking.,2025,Ramanathan Narayanan; Yan-Ping Zhang; Damian Roqueiro; Francesca Tozzi; Eoin C O'Connor,"Data and Analytics, Roche Pharma Research and Early Development, Roche Innovation Center Basel, F. Hoffmann-La Roche Ltd, Basel, Switzerland.; Neuroscience and Rare Diseases Discovery and Translational Area, Roche Pharma Research and Early Development, Roche Innovation Center Basel, F. Hoffmann-La Roche Ltd, Basel, Switzerland.",N/A
40069763,"Molecular determinants of response to neoadjuvant pembrolizumab plus chemotherapy in patients with high-risk, early-stage, triple-negative breast cancer: exploratory analysis of the open-label, multicohort phase 1b KEYNOTE-173 study.",2025,Jennifer Yearley; Vassiliki Karantza; Razvan Cristescu; Petar Jelinic; Lingkang Huang; Anran Wang; Michael Nebozhyn,"Merck & Co., Inc., Rahway, NJ, USA.",Rebecca.dent@duke-nus.edu.sg.
